"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272"
"73","Frankford Av & Torresdale Av",40.005707,-75.092103,NULL,NULL,1,1,"0101000020E61000004337FB03E5C552C0DC2DC901BB004440","0101000020E00800004337FB03E5C552C0DC2DC901BB004440"
"77","Ogontz Av & 69th Av",40.059883,-75.150213,NULL,NULL,1,1,"0101000020E6100000C79BFC169DC952C00E4B033FAA074440","0101000020E0080000C79BFC169DC952C00E4B033FAA074440"
"78","Ogontz Av & Haines St",40.058542,-75.149331,NULL,NULL,1,1,"0101000020E6100000DB519CA38EC952C0A2B8E34D7E074440","0101000020E0080000DB519CA38EC952C0A2B8E34D7E074440"
"79","Ogontz Av & 66th Av",40.054794,-75.149784,NULL,NULL,1,1,"0101000020E6100000B35DA10F96C952C02E02637D03074440","0101000020E0080000B35DA10F96C952C02E02637D03074440"
"80","Ogontz Av & Stenton Av",40.051743,-75.150221,NULL,NULL,1,1,"0101000020E6100000098B8A389DC952C00266BE839F064440","0101000020E0080000098B8A389DC952C00266BE839F064440"
"82","Olney Transportation Center - BSL",40.039066,-75.144749,NULL,NULL,50,1,"0101000020E61000003D484F9143C952C059315C1D00054440","0101000020E00800003D484F9143C952C059315C1D00054440"
"84","Ogontz Av & Chelten Av - FS",40.051743,-75.150068,NULL,NULL,1,1,"0101000020E6100000460BD0B69AC952C00266BE839F064440","0101000020E0080000460BD0B69AC952C00266BE839F064440"
"85","Ogontz Av & 66th Av",40.054562,-75.149655,NULL,NULL,1,1,"0101000020E6100000B4AB90F293C952C05BCD3AE3FB064440","0101000020E0080000B4AB90F293C952C05BCD3AE3FB064440"
"86","Ogontz Av & Haines St",40.058354,-75.149155,NULL,NULL,1,1,"0101000020E61000003BC269C18BC952C09FCBD42478074440","0101000020E00800003BC269C18BC952C09FCBD42478074440"
"89","Cheltenham Av & Ogontz Av - FS",40.07471,-75.15924,NULL,NULL,1,1,"0101000020E6100000C30DF8FC30CA52C09357E71890094440","0101000020E0080000C30DF8FC30CA52C09357E71890094440"
"92","29th St & Girard Av",39.974628,-75.183527,NULL,NULL,1,1,"0101000020E6100000B6BB07E8BECB52C009E23C9CC0FC4340","0101000020E0080000B6BB07E8BECB52C009E23C9CC0FC4340"
"93","23rd St & Market St - FS ",39.95392,-75.177941,NULL,NULL,1,1,"0101000020E610000086E7A56263CB52C00A80F10C1AFA4340","0101000020E008000086E7A56263CB52C00A80F10C1AFA4340"
"94","23rd St & Washington Av",39.93979,-75.181533,NULL,NULL,1,1,"0101000020E61000004489963C9ECB52C0CE8DE9094BF84340","0101000020E00800004489963C9ECB52C0CE8DE9094BF84340"
"95","Oregon Av & 21st St - FS",39.918159,-75.182611,NULL,NULL,1,1,"0101000020E6100000F3380CE6AFCB52C098C3EE3B86F54340","0101000020E0080000F3380CE6AFCB52C098C3EE3B86F54340"
"96","Oregon Av & 20th St - FS",39.917887,-75.180605,NULL,NULL,1,1,"0101000020E61000009F1F46088FCB52C037363B527DF54340","0101000020E00800009F1F46088FCB52C037363B527DF54340"
"98","Oregon Av & Broad St - FS",39.91669,-75.171002,NULL,NULL,1,1,"0101000020E61000003D635FB2F1CA52C0FE48111956F54340","0101000020E00800003D635FB2F1CA52C0FE48111956F54340"
